iter	Passed	Remaining
233	589	1929
234	591	1924
235	594	1925
236	596	1920
237	597	1914
238	599	1909
239	601	1903
240	602	1897
241	603	1891
242	606	1887
243	609	1887
244	611	1883
245	613	1879
246	615	1874
247	616	1869
248	618	1864
249	620	1861
250	623	1859
251	624	1853
252	625	1848
253	627	1843
254	628	1837
255	630	1831
256	631	1826
257	633	1820
258	635	1817
259	638	1816
260	639	1811
261	641	1806
262	642	1800
263	644	1795
264	645	1790
265	646	1785
266	648	1780
267	651	1779
268	653	1775
269	654	1770
270	656	1764
271	657	1759
272	658	1754
273	660	1749
274	661	1744
275	663	1740
276	666	1739
277	668	1736
278	669	1731
279	671	1726
280	672	1720
281	673	1715
282	675	1711
283	676	1706
284	678	1702
285	681	1701
286	683	1697
287	684	1692
288	685	1687
289	687	1682
290	688	1677
291	690	1673
292	691	1668
293	693	1664
294	695	1662
295	697	1658
296	698	1653
297	699	1648
298	701	1643
299	702	1639
300	704	1635
301	705	1630
302	707	1627
303	710	1626
304	712	1623
305	713	1619
306	715	1614
307	716	1609
308	717	1605
309	719	1601
310	720	1596
311	722	1592
312	724	1590
313	726	1587
314	728	1584
315	730	1582
316	732	1578
317	738	1584
318	740	1580
319	741	1575
320	742	1570
321	744	1566
322	745	1562
323	746	1558
324	748	1554
325	752	1554
326	753	1550
327	754	1546
328	755	1541
329	757	1538
330	758	1534
331	760	1529
332	761	1525
333	762	1521
334	801	1591
335	804	1589
336	807	1589
337	810	1588
338	812	1584
339	814	1580
340	815	1575
341	816	1570
342	817	1566
343	819	1562
344	820	1558
345	821	1553
346	823	1549
347	824	1545
348	826	1541
349	827	1536
350	828	1532
351	831	1530
352	832	1526
353	834	1523
354	836	1520
355	838	1517
356	840	1513
357	841	1509
358	844	1507
359	846	1504
360	851	1506
361	863	1521
362	871	1529
363	873	1525
364	874	1522
365	876	1518
366	878	1515
367	882	1516
368	884	1512
369	886	1509
370	888	1505
371	889	1502
372	891	1499
373	893	1495
374	898	1497
375	901	1495
376	902	1491
377	904	1488
378	906	1485
379	908	1482
380	913	1483
381	915	1481
382	917	1478
383	919	1475
384	921	1471
385	922	1467
386	925	1465
387	927	1463
388	929	1459
389	930	1455
390	931	1451
391	933	1448
392	935	1445
393	937	1442
394	940	1439
395	942	1436
396	943	1433
397	945	1430
398	948	1429
399	952	1429
400	956	1428
401	959	1427
402	964	1428
403	967	1427
404	969	1424
405	974	1425
406	979	1427
407	981	1424
408	983	1421
409	986	1419
410	989	1418
411	992	1416
412	996	1415
413	1002	1418
414	1004	1415
415	1014	1424
416	1018	1423
417	1028	1432
418	1031	1430
419	1033	1427
420	1040	1431
421	1043	1429
422	1045	1426
423	1049	1425
424	1052	1423
425	1053	1420
426	1057	1418
427	1059	1415
428	1061	1413
429	1065	1412
430	1069	1412
431	1072	1409
432	1073	1406
433	1075	1403
434	1079	1401
435	1082	1400
436	1084	1397
437	1087	1395
438	1092	1396
439	1095	1394
440	1098	1392
441	1100	1389
442	1107	1392
443	1109	1389
444	1111	1386
445	1113	1382
446	1116	1381
447	1125	1386
448	1127	1383
449	1129	1380
450	1131	1377
451	1141	1383
452	1143	1380
453	1144	1377
454	1153	1381
455	1155	1378
456	1157	1375
457	1159	1372
458	1161	1368
459	1168	1371
460	1170	1369
461	1173	1367
462	1178	1367
463	1180	1364
464	1188	1366
465	1192	1366
466	1194	1363
467	1210	1376
468	1212	1373
469	1214	1369
470	1219	1369
471	1222	1367
472	1224	1364
473	1226	1360
474	1228	1357
475	1233	1358
476	1236	1355
477	1238	1352
478	1240	1349
479	1242	1346
480	1247	1346
481	1251	1345
482	1253	1342
483	1255	1338
484	1256	1334
485	1262	1335
486	1264	1331
487	1265	1328
488	1267	1324
489	1269	1320
490	1270	1317
491	1271	1313
492	1273	1309
493	1275	1306
494	1277	1303
495	1279	1299
496	1280	1296
497	1282	1292
498	1283	1288
499	1285	1285
500	1286	1281
501	1289	1278
502	1290	1275
503	1292	1271
504	1293	1268
505	1295	1264
506	1296	1260
507	1298	1257
508	1299	1253
509	1300	1249
510	1302	1246
511	1303	1242
512	1305	1238
513	1306	1235
514	1308	1232
515	1309	1228
516	1310	1224
517	1312	1220
518	1313	1217
519	1315	1214
520	1317	1211
521	1319	1208
522	1320	1204
523	1322	1201
524	1323	1197
525	1325	1194
526	1326	1190
527	1327	1187
528	1329	1183
529	1332	1181
530	1334	1178
531	1336	1175
532	1338	1172
533	1339	1169
534	1340	1165
535	1342	1161
536	1343	1158
537	1345	1155
538	1347	1152
539	1349	1149
540	1351	1146
541	1352	1142
542	1353	1139
543	1355	1136
544	1356	1132
545	1357	1129
546	1359	1125
547	1361	1123
548	1363	1120
549	1366	1117
550	1368	1115
551	1370	1112
552	1375	1111
553	1377	1109
554	1379	1106
555	1381	1103
556	1385	1101
557	1386	1098
558	1389	1096
559	1391	1093
560	1393	1090
561	1396	1088
562	1399	1086
563	1401	1083
564	1403	1080
565	1405	1077
566	1407	1074
567	1413	1074
568	1414	1071
569	1415	1068
570	1417	1064
571	1418	1061
572	1420	1058
573	1421	1055
574	1423	1052
575	1426	1049
576	1427	1046
577	1429	1043
578	1430	1040
579	1431	1036
580	1433	1033
581	1434	1030
582	1436	1027
583	1437	1023
584	1440	1021
585	1443	1019
586	1444	1016
587	1446	1013
588	1447	1010
589	1449	1007
590	1451	1004
591	1452	1000
592	1456	999
593	1458	996
594	1459	993
595	1460	990
596	1462	987
597	1464	984
598	1465	981
599	1466	977
600	1471	976
601	1472	973
602	1474	970
603	1475	967
604	1477	964
605	1479	961
606	1480	958
607	1481	955
608	1486	954
609	1487	951
610	1489	948
611	1491	945
612	1492	942
613	1493	939
614	1495	936
615	1496	932
616	1500	931
617	1502	928
618	1504	925
619	1505	922
620	1506	919
621	1508	916
622	1509	913
623	1510	910
624	1512	907
625	1515	905
626	1518	903
627	1520	900
628	1521	897
629	1523	894
630	1524	891
631	1525	888
632	1527	885
633	1531	883
634	1532	880
635	1533	877
636	1535	875
637	1537	872
638	1538	869
639	1539	866
640	1540	863
641	1542	860
642	1545	858
643	1547	855
644	1549	852
645	1550	849
646	1552	846
647	1553	843
648	1554	840
649	1556	838
650	1557	835
651	1561	833
652	1562	830
653	1564	827
654	1567	825
655	1568	822
656	1570	819
657	1571	816
658	1573	814
659	1575	811
660	1579	809
661	1580	807
662	1582	804
663	1583	801
664	1588	800
665	1591	797
666	1592	795
667	1593	792
668	1595	789
669	1596	786
670	1597	783
671	1603	782
672	1604	779
673	1605	776
674	1607	773
675	1609	771
676	1611	768
677	1612	766
678	1623	767
679	1625	765
680	1627	762
681	1629	760
682	1634	758
683	1636	756
684	1638	753
685	1639	750
686	1641	747
687	1644	745
688	1648	744
689	1650	741
690	1652	738
691	1654	736
692	1657	734
693	1658	731
694	1664	730
695	1666	727
696	1668	725
697	1669	722
698	1672	720
699	1674	717
700	1687	719
701	1695	719
702	1700	718
703	1702	715
704	1722	720
705	1729	720
706	1735	719
707	1738	717
708	1741	714
709	1747	713
710	1750	711
711	1762	712
712	1764	710
713	1765	707
714	1768	704
715	1770	702
716	1772	699
717	1773	696
718	1775	693
719	1777	691
720	1779	688
721	1783	686
722	1784	683
723	1786	680
724	1787	678
725	1788	675
726	1790	672
727	1791	669
728	1793	666
729	1794	663
730	1799	662
731	1800	659
732	1801	656
733	1803	653
734	1804	650
735	1806	647
736	1807	644
737	1808	642
738	1811	639
739	1813	637
740	1814	634
741	1818	632
742	1819	629
743	1821	626
744	1823	623
745	1826	622
746	1829	619
747	1831	616
748	1832	614
749	1834	611
750	1836	608
751	1840	607
752	1842	604
753	1844	601
754	1846	599
755	1848	596
756	1849	593
757	1854	592
758	1856	589
759	1857	586
760	1860	584
761	1863	581
762	1864	579
763	1869	577
764	1871	574
765	1873	572
766	1876	569
767	1877	567
768	1879	564
769	1881	562
770	1885	559
771	1886	557
772	1888	554
773	1889	551
774	1890	548
775	1892	546
776	1893	543
777	1894	540
778	1898	538
779	1900	536
780	1903	533
781	1905	531
782	1906	528
783	1908	525
784	1909	522
785	1914	521
786	1915	518
787	1917	515
788	1918	513
789	1920	510
790	1921	507
791	1922	504
792	1923	502
793	1925	499
794	1928	497
795	1929	494
796	1931	491
797	1932	489
798	1934	486
799	1935	483
800	1937	481
801	1938	478
802	1941	476
803	1944	473
804	1945	471
805	1947	468
806	1948	466
807	1950	463
808	1951	460
809	1952	458
810	1954	455
811	1959	453
812	1961	451
813	1962	448
814	1963	445
815	1965	443
816	1966	440
817	1968	437
818	1969	435
819	1972	433
820	1974	430
821	1975	427
822	1977	425
823	1978	422
824	1980	420
825	1981	417
826	1982	414
827	1984	412
828	1987	409
829	1988	407
830	1990	404
831	1991	402
832	1993	399
833	1994	396
834	1995	394
835	1997	391
836	1998	389
837	2000	386
838	2002	384
839	2004	381
840	2005	379
841	2007	376
842	2008	374
843	2009	371
844	2011	368
845	2012	366
846	2013	363
847	2018	361
848	2020	359
849	2022	356
850	2024	354
851	2027	352
852	2028	349
853	2032	347
854	2033	344
855	2035	342
856	2036	339
857	2037	337
858	2039	334
859	2040	332
860	2042	329
861	2044	327
862	2047	325
863	2087	328
864	2090	326
865	2092	323
866	2094	321
867	2105	320
868	2107	317
869	2109	315
870	2110	312
871	2112	310
872	2113	307
873	2117	305
874	2118	302
875	2119	300
876	2121	297
877	2122	294
878	2124	292
879	2125	289
880	2126	287
881	2128	284
882	2129	282
883	2131	279
884	2133	277
885	2135	274
886	2136	272
887	2137	269
888	2139	267
889	2141	264
890	2142	262
891	2144	259
892	2146	257
893	2147	254
894	2148	252
895	2150	249
896	2152	247
897	2153	244
898	2155	242
899	2156	239
900	2158	237
901	2161	234
902	2162	232
903	2164	229
904	2165	227
905	2166	224
906	2168	222
907	2169	219
908	2170	217
909	2172	214
910	2175	212
911	2176	210
912	2178	207
913	2179	205
914	2180	202
915	2182	200
916	2183	197
917	2185	195
918	2186	192
919	2190	190
920	2191	188
921	2193	185
922	2195	183
923	2196	180
924	2197	178
925	2199	175
926	2201	173
927	2202	170
928	2205	168
929	2206	166
930	2209	163
931	2211	161
932	2213	158
933	2216	156
934	2218	154
935	2220	151
936	2222	149
937	2226	147
938	2228	144
939	2229	142
940	2232	139
941	2234	137
942	2235	135
943	2240	132
944	2242	130
945	2244	128
946	2246	125
947	2248	123
948	2250	120
949	2253	118
950	2255	116
951	2257	113
952	2258	111
953	2261	109
954	2263	106
955	2265	104
956	2267	101
957	2268	99
958	2269	97
959	2271	94
960	2272	92
961	2274	89
962	2276	87
963	2278	85
964	2280	82
965	2284	80
966	2285	77
967	2287	75
968	2288	73
969	2291	70
970	2293	68
971	2295	66
972	2296	63
973	2297	61
974	2299	58
975	2300	56
976	2302	54
977	2303	51
978	2306	49
979	2308	47
980	2309	44
981	2311	42
982	2312	39
983	2313	37
984	2315	35
985	2316	32
986	2318	30
987	2320	28
988	2322	25
989	2323	23
990	2325	21
991	2326	18
992	2327	16
993	2329	14
994	2330	11
995	2331	9
996	2333	7
997	2336	4
998	2338	2
999	2340	0
